"key1";"v171";"v172";"v173";"v174";"v175";"v176";"v177";"v178";"v179";"v180";"v181";"v182";"v183";"v184";"v185";"v186";"v187";"v188";"v189";"v190";"v191";"v192";"v193";"v194";"v195";"v196";"v197";"v198";"v199";"v200";"v201";"v202";"v203";"v204";"v171";"v172"
3;NA;NA;2009-03-30 18:53:17;2997;2017-06-14 13:59:34;0;2017-06-14 13:59:34;"ValidDomain";"500 Moderate";500;4;29;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"business";0,1;"U"
6;NA;NA;2009-03-30 18:53:17;3002;2017-06-19 13:23:29;0;2017-06-19 13:23:29;"ValidDomain";"500 Moderate";500;4;29;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"business";0,1;"U"
4;NA;NA;1998-04-28 20:00:00;6991;2017-06-19 13:30:01;0;2017-06-19 13:30:00;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"business";0,1;"U"
9;NA;NA;1999-12-22 19:00:00;6389;2017-06-20 10:07:17;0;2017-06-20 10:07:17;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,23;"U"
7;NA;NA;2009-03-30 18:53:17;3004;2017-06-21 05:48:24;0;2017-06-21 05:48:24;"ValidDomain";"500 Moderate";500;4;29;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"business";0,1;"U"
12;NA;NA;1998-04-28 20:00:00;6993;2009-10-08 04:49:41;2813;2016-02-02 21:05:19;"Verified";"082 Very Low";82;2;14;3;"Lower Fraud Risk";1;"Fraud Score 1 to 100";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"Y"
15;NA;NA;1998-04-28 20:00:00;6993;2017-06-21 10:30:14;0;2017-06-21 10:30:14;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,16;"U"
25;NA;NA;1999-09-13 07:00:00;6491;2017-06-21 10:33:20;0;2017-06-21 10:33:18;"ValidDomain";"500 Moderate";500;4;8;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
23;NA;NA;1999-09-13 07:00:00;6491;2016-12-16 11:33:08;186;2016-12-16 11:33:09;"Verified";"298 Low";298;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
17;NA;NA;1995-08-13 07:00:00;7983;2016-10-15 08:06:20;248;2016-11-09 09:55:57;"Verified";"237 Low";237;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
28;NA;NA;1995-08-13 07:00:00;7983;2015-10-08 07:00:00;622;2017-05-17 06:23:47;"Verified";"171 Low";171;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
30;NA;NA;1999-05-25 08:00:00;6601;2016-11-15 07:00:00;218;2017-03-23 16:28:25;"ValidDomain";"292 Low";292;4;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
31;NA;NA;1999-12-22 19:00:00;6390;2017-06-06 05:06:16;15;2017-06-06 05:06:17;"Verified";"495 Moderate";495;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
14;NA;NA;1999-10-07 20:00:00;6466;2016-11-19 07:00:00;214;2017-05-14 10:13:49;"Verified";"293 Low";293;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
18;NA;NA;1999-10-07 20:00:00;6466;2017-06-21 10:43:25;0;2017-06-21 10:43:24;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
129;NA;NA;1999-10-07 20:00:00;6466;2017-04-22 11:52:47;59;2017-06-05 11:58:30;"Verified";"484 Moderate";484;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
4235;NA;NA;1998-04-28 20:00:00;7007;2017-01-04 10:12:36;181;2017-05-05 06:20:42;"Verified";"451 Moderate";451;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;2;2;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
35;NA;NA;1998-04-28 20:00:00;6993;2016-10-26 10:51:57;237;2017-05-05 07:23:30;"Verified";"289 Low";289;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
37;NA;NA;1999-12-22 19:00:00;6390;2016-11-14 11:34:30;218;2017-05-18 13:50:29;"Verified";"292 Low";292;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
32;NA;NA;1999-10-07 20:00:00;6466;2016-10-31 12:35:55;232;2017-04-10 07:52:12;"Verified";"290 Low";290;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
27;NA;NA;1995-08-13 07:00:00;7983;2017-01-25 17:08:44;146;2017-01-25 17:08:44;"Verified";"500 Moderate";500;2;8;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
417;NA;NA;1995-08-13 07:00:00;7983;2014-08-28 07:00:00;1028;2017-04-05 16:51:11;"Verified";"129 Low";129;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
401;NA;NA;1999-05-25 08:00:00;6601;2014-02-09 10:45:00;1227;2017-06-21 14:36:15;"Verified";"116 Low";116;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;13;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"Y"
38;NA;NA;1998-04-28 20:00:00;6993;2017-05-08 12:41:48;43;2017-06-02 10:06:36;"Verified";"488 Moderate";488;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
45;NA;NA;1998-04-28 20:00:00;6993;2016-10-27 06:20:37;237;2017-01-07 09:53:06;"Verified";"289 Low";289;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
58;NA;NA;1999-12-22 19:00:00;6390;2016-11-01 07:53:36;231;2016-11-24 09:26:39;"Verified";"290 Low";290;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
20;NA;NA;1995-08-13 07:00:00;7983;2016-11-05 07:00:00;228;2017-06-21 05:37:26;"Verified";"240 Low";240;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;2;2;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
364;NA;NA;1995-08-13 07:00:00;7983;2017-04-25 12:32:14;56;2017-04-25 12:32:14;"Verified";"500 Moderate";500;2;8;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
4182;NA;NA;1999-12-22 19:00:00;6404;2017-07-05 06:24:24;0;2017-07-05 06:24:23;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
4498;NA;NA;1999-10-07 20:00:00;6481;2012-01-11 00:56:30;2002;2017-03-20 09:32:57;"Verified";"092 Very Low";92;2;14;3;"Lower Fraud Risk";1;"Fraud Score 1 to 100";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
49;NA;NA;1998-04-28 20:00:00;6993;2016-12-11 15:54:15;191;2017-01-17 15:04:50;"Verified";"297 Low";297;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
68;NA;NA;1995-08-13 07:00:00;7983;2016-08-12 08:12:42;312;2017-06-01 10:42:38;"Verified";"225 Low";225;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
48;NA;NA;1998-04-28 20:00:00;6993;2015-11-06 07:00:00;593;2017-04-27 16:08:34;"Verified";"176 Low";176;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
50;NA;NA;1998-04-28 20:00:00;6993;2015-10-01 07:00:00;629;2017-01-20 15:50:05;"Verified";"170 Low";170;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
291;NA;NA;1995-08-13 07:00:00;7983;2017-06-21 15:34:00;0;2017-06-21 15:34:00;"Verified";"500 Moderate";500;2;8;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;1;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"Y"
4237;NA;NA;NA;NA;2016-10-11 08:29:05;266;2017-02-07 13:23:53;"Verified";"284 Low";284;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
4721;NA;NA;1998-04-28 20:00:00;7009;2011-05-23 17:38:28;2236;2017-07-07 07:03:11;"Verified";"089 Very Low";89;2;14;3;"Lower Fraud Risk";1;"Fraud Score 1 to 100";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
