,v001,v002,response,v4,v5,v14,v29,v120,v123,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v172.1
0,15.0,35.0,0,1400.0,1.0,1400.0,1.0,,,893793600.0,6991.0,1497879001.0,0.0,1497879000.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,business,U
1,13.0,21.0,1,500.0,1.0,614.85,1.0,,,893793600.0,6993.0,1498044953.0,0.0,1498044953.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
2,13.0,66.0,0,4975.86,2.0,4975.86,27.0,,1.0,,,1498140781.0,0.0,1498140781.0,Verified,275 Low,275.0,2.0,12.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Low,4.0,510.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
3,13.0,20.0,0,,,,,6.0,,945889200.0,6390.0,1496751170.0,14.0,1496751171.0,Verified,496 Moderate,496.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
4,13.0,21.0,1,,,,,2.0,1.0,808297200.0,7983.0,1494422808.0,41.0,1494422810.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
5,13.0,43.0,0,2500.0,1.0,3225.38,37.0,10.0,24.0,939326400.0,6467.0,1367305200.0,1514.0,1496412402.0,Verified,098 Very Low,98.0,2.0,14.0,3.0,Lower Fraud Risk,1.0,Fraud Score 1 to 100,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
6,14.0,27.0,1,13632.02,6.0,11675.93,38.0,4.0,6.0,835430400.0,7668.0,1484505372.0,156.0,1496343353.0,Verified,457 Moderate,457.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
7,14.0,29.0,1,748.0,1.0,1277.33,5.0,3.0,,945889200.0,6390.0,1498049390.0,0.0,1498049389.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
8,14.0,33.0,0,,,,28.0,,,808297200.0,7983.0,1498049354.0,0.0,1498049352.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
9,14.0,21.0,0,,,,5.0,1.0,4.0,835430400.0,7668.0,1498058690.0,0.0,1498058689.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
10,15.0,35.0,0,3000.0,2.0,3298.14,2.0,2.0,,939326400.0,6466.0,1498056187.0,0.0,1498056186.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
11,15.0,40.0,0,49813.88,7.0,50271.47,32.0,7.0,15.0,835430400.0,7668.0,1486450800.0,134.0,1497346014.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
12,16.0,34.0,0,3000.0,1.0,3024.7,3.0,1.0,2.0,927619200.0,6601.0,1391942700.0,1227.0,1498055775.0,Verified,116 Low,116.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,Y
13,16.0,32.0,0,,,,,1.0,,927619200.0,6601.0,1431932400.0,765.0,1498056861.0,Verified,147 Low,147.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
14,16.0,48.0,0,,,,19.0,2.0,,835430400.0,7668.0,1498055924.0,0.0,1498055923.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
15,17.0,64.0,1,50874.66,10.0,36603.74,45.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18.0,28.0,1,3300.0,1.0,3319.1,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18.0,29.0,1,1736.45,1.0,1003.68,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,18.0,21.0,1,5700.0,2.0,5729.18,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,19.0,20.0,1,150.0,1.0,275.78,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20.0,28.0,0,300.0,1.0,302.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20.0,23.0,1,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,20.0,44.0,0,7500.0,1.0,7561.6,15.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20.0,43.0,0,1750.0,2.0,1837.75,30.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,20.0,22.0,1,1600.0,2.0,1600.0,11.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,21.0,21.0,0,600.0,1.0,600.0,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,21.0,31.0,0,2350.0,2.0,2598.08,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,21.0,21.0,0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,22.0,31.0,0,1800.0,1.0,1963.8,21.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,23.0,22.0,1,,,,5.0,45.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6.0,21.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7.0,38.0,0,9051.51,3.0,8554.0,12.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9.0,21.0,1,4575.0,3.0,5077.5,14.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,9.0,26.0,0,1000.0,1.0,1000.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9.0,21.0,1,175.0,1.0,302.83,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9.0,34.0,0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10.0,68.0,0,1000.0,1.0,1000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,10.0,21.0,1,,,,3.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11.0,40.0,0,6410.98,2.0,6430.98,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,12.0,55.0,0,8868.44,2.0,8829.68,10.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,12.0,62.0,0,1000.0,1.0,1008.2,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,12.0,36.0,0,1000.0,1.0,1003.8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,14.0,36.0,0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,14.0,21.0,1,3692.29,2.0,3754.25,4.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,14.0,23.0,0,1982.2,2.0,1987.5,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,14.0,41.0,1,,,,1.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,14.0,22.0,1,1100.0,1.0,1135.8,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,15.0,41.0,0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,15.0,22.0,1,300.0,1.0,372.36,10.0,13.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,16.0,35.0,0,4600.0,2.0,4909.7,21.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,16.0,20.0,0,5172.04,1.0,5735.7,7.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,16.0,59.0,0,1500.0,1.0,1500.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,17.0,25.0,0,1400.0,2.0,1401.62,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,17.0,30.0,0,5000.0,1.0,5041.0,38.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,18.0,46.0,1,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,18.0,62.0,1,3100.0,2.0,3153.42,3.0,9.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,19.0,27.0,0,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,19.0,35.0,0,1000.0,1.0,0.98,13.0,5.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,23.0,34.0,0,1000.0,1.0,1000.0,6.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.0,24.0,0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6.0,37.0,0,7250.0,4.0,7604.3,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8.0,31.0,0,2500.0,2.0,2920.58,14.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,9.0,34.0,0,2228.22,2.0,2242.02,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,9.0,30.0,0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
