,v001,v002,response,v5,v9,v12,v29,v32,v33,v34,v36,v37,v105,v106,v109,v112,v113,v116,v117,v119,v120,v122,v123,v173,v174,v176,v178,v179,v180,v181,v182,v183,v184,v185,v186,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v171.1,v172.1
0,15,35,0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1998-04-28 20:00:00,6991.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,business,"0,1",U
1,13,21,1,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,2.0,,1998-04-28 20:00:00,6993.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
2,13,66,0,2.0,,,27.0,10.0,,17.0,,,,,,,,,,12.0,,,1.0,,,0.0,Verified,275 Low,275.0,2.0,12.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Low,4.0,510.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
3,13,20,0,,,,,,,,,,1.0,6.0,1.0,1.0,1.0,1.0,5.0,,6.0,3.0,,1999-12-22 19:00:00,6390.0,14.0,Verified,496 Moderate,496.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
4,13,21,1,,,,,,,,,,,3.0,,,1.0,,1.0,,2.0,1.0,1.0,1995-08-13 07:00:00,7983.0,41.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
5,13,43,0,1.0,,,37.0,10.0,,17.0,,10.0,,,,,,,,16.0,10.0,1.0,24.0,1999-10-07 20:00:00,6467.0,1514.0,Verified,098 Very Low,98.0,2.0,14.0,3.0,Lower Fraud Risk,1.0,Fraud Score 1 to 100,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
6,14,27,1,6.0,2.0,,38.0,7.0,3.0,20.0,,8.0,,2.0,,,2.0,,1.0,4.0,4.0,3.0,6.0,1996-06-22 08:00:00,7668.0,156.0,Verified,457 Moderate,457.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
7,14,29,1,1.0,,,5.0,,,5.0,,,7.0,11.0,6.0,2.0,3.0,2.0,,1.0,3.0,1.0,,1999-12-22 19:00:00,6390.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
8,14,33,0,,,,28.0,1.0,,25.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,,,,,,1995-08-13 07:00:00,7983.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"1,7",U
9,14,21,0,,,,5.0,3.0,,,,2.0,1.0,,,1.0,,,,2.0,1.0,,4.0,1996-06-22 08:00:00,7668.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
10,15,35,0,2.0,1.0,,2.0,,1.0,,,,,,,,,,1.0,,2.0,,,1999-10-07 20:00:00,6466.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
11,15,40,0,7.0,3.0,1.0,32.0,5.0,7.0,,1.0,16.0,,,,,,,,5.0,7.0,7.0,15.0,1996-06-22 08:00:00,7668.0,134.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
12,16,34,0,1.0,,1.0,3.0,,,,1.0,2.0,,7.0,2.0,,1.0,1.0,,,1.0,,2.0,1999-05-25 08:00:00,6601.0,1227.0,Verified,116 Low,116.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",Y
13,16,32,0,,,,,,,,,,,,,,,,,,1.0,,,1999-05-25 08:00:00,6601.0,765.0,Verified,147 Low,147.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
14,16,48,0,,,,19.0,4.0,1.0,14.0,,,,,,,,,,2.0,2.0,1.0,,1996-06-22 08:00:00,7668.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
15,17,64,1,10.0,1.0,1.0,45.0,9.0,2.0,27.0,1.0,6.0,,,,,,,1.0,7.0,2.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,28,1,1.0,1.0,,3.0,,1.0,,,2.0,,,1.0,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,29,1,1.0,,,3.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,18.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,18,21,1,2.0,1.0,1.0,8.0,,3.0,,1.0,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,19,20,1,1.0,,1.0,1.0,,,,1.0,,,,,,,,2.0,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20,28,0,1.0,,1.0,6.0,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20,23,1,,,,,,,,,,4.0,8.0,11.0,2.0,2.0,3.0,,,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,20,44,0,1.0,,1.0,15.0,,1.0,10.0,1.0,3.0,2.0,12.0,8.0,1.0,1.0,1.0,1.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20,43,0,2.0,1.0,1.0,30.0,2.0,2.0,24.0,1.0,1.0,,,,,,,1.0,2.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,20,22,1,2.0,,1.0,11.0,,,8.0,2.0,,1.0,2.0,,1.0,1.0,,2.0,1.0,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,21,21,0,1.0,,1.0,3.0,,,,1.0,2.0,,,,,,,1.0,,3.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,21,31,0,2.0,,2.0,2.0,,,,2.0,,2.0,3.0,6.0,1.0,2.0,2.0,,,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,21,21,0,,,,2.0,,,,,2.0,,3.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,22,31,0,1.0,,1.0,21.0,3.0,1.0,16.0,1.0,,3.0,,3.0,2.0,,1.0,,7.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,23,22,1,,,,5.0,,,5.0,,,20.0,10.0,5.0,1.0,1.0,1.0,4.0,2.0,45.0,28.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6,21,1,,,,,,,,,,2.0,1.0,,1.0,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7,38,0,3.0,,,12.0,1.0,5.0,,,4.0,,,,,,,,1.0,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9,21,1,3.0,1.0,2.0,14.0,4.0,3.0,2.0,2.0,3.0,,,,,,,1.0,,4.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,9,26,0,1.0,1.0,,11.0,1.0,1.0,9.0,,,2.0,5.0,4.0,2.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9,21,1,1.0,,1.0,2.0,1.0,,,1.0,,,,,,,,,4.0,3.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9,34,0,,,,,,,,,,3.0,3.0,7.0,1.0,2.0,2.0,,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10,68,0,1.0,,1.0,10.0,5.0,,3.0,1.0,1.0,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,10,21,1,,,,3.0,,2.0,,,1.0,,,,,,,,,1.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11,40,0,2.0,,,15.0,5.0,2.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
