,v001,v002,response,v4,v5,v14,v24,v25,v28,v29,v33,v34,v37,v120,v123,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v172.1
3,13,20,0,,,,,,,,,,,6.0,,1999-12-22 19:00:00,6390.0,2017-06-06 12:12:50,14.0,2017-06-06 12:12:51,verified,496 moderate,496.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
5,13,43,0,2500,1.0,3225.38,,40502.52,17826.78,37.0,,17.0,10.0,10.0,24.0,1999-10-07 20:00:00,6467.0,2013-04-30 07:00:00,1514.0,2017-06-02 14:06:42,verified,098 very low,98.0,2.0,14.0,3.0,lower fraud risk,1.0,fraud score 1 to 100,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
6,14,27,1,13632.02,6.0,11675.93,7500,25696.8,15880,38.0,3.0,20.0,8.0,4.0,6.0,1996-06-22 08:00:00,7668.0,2017-01-15 18:36:12,156.0,2017-06-01 18:55:53,verified,457 moderate,457.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
7,14,29,1,748,1.0,1277.33,,8748,,5.0,,5.0,,3.0,,1999-12-22 19:00:00,6390.0,2017-06-21 12:49:50,0.0,2017-06-21 12:49:49,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
8,14,33,0,,,,,16800,100,28.0,,25.0,1.0,,,1995-08-13 07:00:00,7983.0,2017-06-21 12:49:14,0.0,2017-06-21 12:49:12,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
9,14,21,0,,,,,,3700,5.0,,,2.0,1.0,4.0,1996-06-22 08:00:00,7668.0,2017-06-21 15:24:50,0.0,2017-06-21 15:24:49,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
10,15,35,0,3000,2.0,3298.14,1500,,,2.0,1.0,,,2.0,,1999-10-07 20:00:00,6466.0,2017-06-21 14:43:07,0.0,2017-06-21 14:43:06,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
11,15,40,0,49813.88,7.0,50271.47,37524.09,,58078.3,32.0,7.0,,16.0,7.0,15.0,1996-06-22 08:00:00,7668.0,2017-02-07 07:00:00,134.0,2017-06-13 09:26:54,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
12,16,34,0,3000,1.0,3024.7,,,4000,3.0,,,2.0,1.0,2.0,1999-05-25 08:00:00,6601.0,2014-02-09 10:45:00,1227.0,2017-06-21 14:36:15,verified,116 low,116.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,y
14,16,48,0,,,,5000,18100,,19.0,1.0,14.0,,2.0,,1996-06-22 08:00:00,7668.0,2017-06-21 14:38:44,0.0,2017-06-21 14:38:43,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
