,v001,v002,response,v4,v5,v9,v12,v14,v23,v24,v25,v27,v28,v29,v32,v33,v34,v36,v37,v105,v106,v109,v112,v113,v116,v117,v119,v120,v122,v123,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v171.1,v172.1
0,15,35,0,1400,1.0,,1.0,1400,,,,1400,,1.0,,,,1.0,,,,,,,,,,,,,1998-04-28 20:00:00,6991.0,2017-06-19 13:30:01,0.0,2017-06-19 13:30:00,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,business,"0,1",U
1,13,21,1,500,1.0,,1.0,"614,85",,,,500,,1.0,,,,1.0,,,,,,,,,,,2.0,,1998-04-28 20:00:00,6993.0,2017-06-21 11:35:53,0.0,2017-06-21 11:35:53,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
2,13,66,0,"4975,86",2.0,,,"4975,86","28428,42",,"42272,84",,,27.0,10.0,,17.0,,,,,,,,,,12.0,,,1.0,,,2017-06-22 14:13:01,0.0,2017-06-22 14:13:01,Verified,275 Low,275.0,2.0,12.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Low,4.0,510.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
3,13,20,0,,,,,,,,,,,,,,,,,1.0,6.0,1.0,1.0,1.0,1.0,5.0,,6.0,3.0,,1999-12-22 19:00:00,6390.0,2017-06-06 12:12:50,14.0,2017-06-06 12:12:51,Verified,496 Moderate,496.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
4,13,21,1,,,,,,,,,,,,,,,,,,3.0,,,1.0,,1.0,,2.0,1.0,1.0,1995-08-13 07:00:00,7983.0,2017-05-10 13:26:48,41.0,2017-05-10 13:26:50,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
5,13,43,0,2500,1.0,,,"3225,38","12282,84",,"40502,52",,"17826,78",37.0,10.0,,17.0,,10.0,,,,,,,,16.0,10.0,1.0,24.0,1999-10-07 20:00:00,6467.0,2013-04-30 07:00:00,1514.0,2017-06-02 14:06:42,Verified,098 Very Low,98.0,2.0,14.0,3.0,Lower Fraud Risk,1.0,Fraud Score 1 to 100,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
6,14,27,1,"13632,02",6.0,2.0,,"11675,93","15962,02",7500,"25696,8",,15880,38.0,7.0,3.0,20.0,,8.0,,2.0,,,2.0,,1.0,4.0,4.0,3.0,6.0,1996-06-22 08:00:00,7668.0,2017-01-15 18:36:12,156.0,2017-06-01 18:55:53,Verified,457 Moderate,457.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
7,14,29,1,748,1.0,,,"1277,33",,,8748,,,5.0,,,5.0,,,7.0,11.0,6.0,2.0,3.0,2.0,,1.0,3.0,1.0,,1999-12-22 19:00:00,6390.0,2017-06-21 12:49:50,0.0,2017-06-21 12:49:49,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
8,14,33,0,,,,,,100,,16800,100,100,28.0,1.0,,25.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,,,,,,1995-08-13 07:00:00,7983.0,2017-06-21 12:49:14,0.0,2017-06-21 12:49:12,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"1,7",U
9,14,21,0,,,,,,1700,,,,3700,5.0,3.0,,,,2.0,1.0,,,1.0,,,,2.0,1.0,,4.0,1996-06-22 08:00:00,7668.0,2017-06-21 15:24:50,0.0,2017-06-21 15:24:49,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
10,15,35,0,3000,2.0,1.0,,"3298,14",,1500,,,,2.0,,1.0,,,,,,,,,,1.0,,2.0,,,1999-10-07 20:00:00,6466.0,2017-06-21 14:43:07,0.0,2017-06-21 14:43:06,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
11,15,40,0,"49813,88",7.0,3.0,1.0,"50271,47","12333,71","37524,09",,"18059,68","58078,3",32.0,5.0,7.0,,1.0,16.0,,,,,,,,5.0,7.0,7.0,15.0,1996-06-22 08:00:00,7668.0,2017-02-07 07:00:00,134.0,2017-06-13 09:26:54,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
12,16,34,0,3000,1.0,,1.0,"3024,7",,,,3000,4000,3.0,,,,1.0,2.0,,7.0,2.0,,1.0,1.0,,,1.0,,2.0,1999-05-25 08:00:00,6601.0,2014-02-09 10:45:00,1227.0,2017-06-21 14:36:15,Verified,116 Low,116.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",Y
13,16,32,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1999-05-25 08:00:00,6601.0,2015-05-18 07:00:00,765.0,2017-06-21 14:54:21,Verified,147 Low,147.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
14,16,48,0,,,,,,12000,5000,18100,,,19.0,4.0,1.0,14.0,,,,,,,,,,2.0,2.0,1.0,,1996-06-22 08:00:00,7668.0,2017-06-21 14:38:44,0.0,2017-06-21 14:38:43,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
15,17,64,1,"50874,66",10.0,1.0,1.0,"36603,74","27659,98",7000,"107948,6",6000,"26801,55",45.0,9.0,2.0,27.0,1.0,6.0,,,,,,,1.0,7.0,2.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,28,1,3300,1.0,1.0,,"3319,1",,3300,,,4100,3.0,,1.0,,,2.0,,,1.0,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,29,1,"1736,45",1.0,,,"1003,68",250,,1600,,"1736,45",3.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,18.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,18,21,1,5700,2.0,1.0,1.0,"5729,18",,6900,,3200,4000,8.0,,3.0,,1.0,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,19,20,1,150,1.0,,1.0,"275,78",,,,150,,1.0,,,,1.0,,,,,,,,2.0,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20,28,0,300,1.0,,1.0,"302,5",,900,1700,300,,6.0,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20,23,1,,,,,,,,,,,,,,,,,4.0,8.0,11.0,2.0,2.0,3.0,,,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,20,44,0,7500,1.0,,1.0,"7561,6",,7000,37600,7500,15000,15.0,,1.0,10.0,1.0,3.0,2.0,12.0,8.0,1.0,1.0,1.0,1.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20,43,0,1750,2.0,1.0,1.0,"1837,75","20349,15",1750,"69842,6",750,1000,30.0,2.0,2.0,24.0,1.0,1.0,,,,,,,1.0,2.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,20,22,1,1600,2.0,,1.0,1600,,,5100,450,,11.0,,,8.0,2.0,,1.0,2.0,,1.0,1.0,,2.0,1.0,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,21,21,0,600,1.0,,1.0,600,,,,600,1200,3.0,,,,1.0,2.0,,,,,,,1.0,,3.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,21,31,0,2350,2.0,,2.0,"2598,08",,,,2350,,2.0,,,,2.0,,2.0,3.0,6.0,1.0,2.0,2.0,,,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,21,21,0,,,,,,,,,,1200,2.0,,,,,2.0,,3.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,22,31,0,1800,1.0,,1.0,"1963,8",12000,400,50000,1800,,21.0,3.0,1.0,16.0,1.0,,3.0,,3.0,2.0,,1.0,,7.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,23,22,1,,,,,,,,2500,,,5.0,,,5.0,,,20.0,10.0,5.0,1.0,1.0,1.0,4.0,2.0,45.0,28.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6,21,1,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7,38,0,"9051,51",3.0,,,8554,500,"13033,71",,,10600,12.0,1.0,5.0,,,4.0,,,,,,,,1.0,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9,21,1,4575,3.0,1.0,2.0,"5077,5",1150,4300,550,1775,4500,14.0,4.0,3.0,2.0,2.0,3.0,,,,,,,1.0,,4.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
