v001,v002,response,v4,v5,v14,v29,v120,v123,v173,v174,v175,v176,v177,v180,v181,v182,v183,v185,v191,v192,v196,v197,v198,v200,v178_Certified,v178_EmailInexistent,v178_ValidDomain,v178_Verified,v178_nan,v184_Data Entry Review,v184_Lower Fraud Risk,v184_Lower+Fraud+Risk,v184_Moderate Fraud Risk,v184_Moderate+Fraud+Risk,v184_nan,v186_Fraud Score 1 to 100,v186_Fraud Score 101 to 300,v186_Fraud Score 301 to 600,v186_Fraud Score 601 to 799,v186_Fraud+Score+101+to+300,v186_Fraud+Score+301+to+600,v186_nan,v193_No,v193_Not Sure,v193_Not+Sure,v193_Yes,v193_nan,v194_Yes,v194_nan,v195_Low,v195_Moderate,v195_nan,v199_Moderate,v199_nan,v201_Moderate By Proxy Reputation And Country Code,v201_Moderate Risk,v201_Moderate+By+Proxy+Reputation+And+Country+Code,v201_nan,v202_Good,v202_nan,v203_No,v203_nan,v204_business,v204_cellular,v204_college,v204_dialup,v204_mobile,v204_residential,v204_wifi,v204_wired,v204_nan,v172.1_N,v172.1_P,v172.1_U,v172.1_Y,v172.1_nan
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,35.0,0.0,1400.0,1.0,1400.0,1.0,,,893793600.0,6991.0,1497879001.0,0.0,1497879000.0,500.0,2.0,28.0,4.0,3.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,21.0,1.0,500.0,1.0,614.85,1.0,,,893793600.0,6993.0,1498044953.0,0.0,1498044953.0,500.0,2.0,28.0,4.0,3.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,66.0,0.0,4975.86,2.0,4975.86,27.0,,1.0,,,1498140781.0,0.0,1498140781.0,275.0,2.0,12.0,3.0,2.0,1.0,1.0,4.0,510.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,20.0,0.0,,,,,6.0,,945889200.0,6390.0,1496751170.0,14.0,1496751171.0,496.0,2.0,28.0,4.0,3.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,21.0,1.0,,,,,2.0,1.0,808297200.0,7983.0,1494422808.0,41.0,1494422810.0,500.0,2.0,8.0,4.0,3.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,43.0,0.0,2500.0,1.0,3225.38,37.0,10.0,24.0,939326400.0,6467.0,1367305200.0,1514.0,1496412402.0,98.0,2.0,14.0,3.0,1.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14.0,27.0,1.0,13632.02,6.0,11675.93,38.0,4.0,6.0,835430400.0,7668.0,1484505372.0,156.0,1496343353.0,457.0,2.0,28.0,4.0,3.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14.0,29.0,1.0,748.0,1.0,1277.33,5.0,3.0,,945889200.0,6390.0,1498049390.0,0.0,1498049389.0,500.0,2.0,28.0,4.0,3.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14.0,33.0,0.0,,,,28.0,,,808297200.0,7983.0,1498049354.0,0.0,1498049352.0,500.0,2.0,8.0,4.0,3.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14.0,21.0,0.0,,,,5.0,1.0,4.0,835430400.0,7668.0,1498058690.0,0.0,1498058689.0,500.0,2.0,28.0,4.0,3.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15.0,35.0,0.0,3000.0,2.0,3298.14,2.0,2.0,,939326400.0,6466.0,1498056187.0,0.0,1498056186.0,500.0,2.0,28.0,4.0,3.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15.0,40.0,0.0,49813.88,7.0,50271.47,32.0,7.0,15.0,835430400.0,7668.0,1486450800.0,134.0,1497346014.0,500.0,2.0,8.0,4.0,3.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16.0,34.0,0.0,3000.0,1.0,3024.7,3.0,1.0,2.0,927619200.0,6601.0,1391942700.0,1227.0,1498055775.0,116.0,2.0,14.0,3.0,2.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,32.0,0.0,,,,,1.0,,927619200.0,6601.0,1431932400.0,765.0,1498056861.0,147.0,2.0,14.0,3.0,2.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16.0,48.0,0.0,,,,19.0,2.0,,835430400.0,7668.0,1498055924.0,0.0,1498055923.0,500.0,2.0,28.0,4.0,3.0,1.0,1.0,3.0,508.0,3.0,311.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17.0,64.0,1.0,50874.66,10.0,36603.74,45.0,2.0,11.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
18.0,28.0,1.0,3300.0,1.0,3319.1,3.0,,4.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
18.0,29.0,1.0,1736.45,1.0,1003.68,3.0,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
18.0,21.0,1.0,5700.0,2.0,5729.18,8.0,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
